Symbol,Timestamp,Price,Size,Exchange,Type
MSFT,2021-03-05 10:00:00.123,228.5,120,NYSE,Ask
MSFT,2021-03-05 10:00:00.123,228.4,110,NASDAQ,Bid
MSFT,2021-03-05 10:00:00.133,228.5,120,NYSE,TRADE
MSFT,2021-03-05 10:00:00.134,228.5,120,NYSE_ARCA,Ask
MSFT,2021-03-05 10:00:30.549,229.79,130,NYSE_ARCA,Ask
MSFT,2021-03-05 10:00:01.707,228.21,100,NYSE,TRADE
MSFT,2021-03-05 10:00:41.240,229.4,110,NYSE,Bid
MSFT,2021-03-05 10:00:43.598,229.25,110,NYSE,Bid
MSFT,2021-03-05 10:00:20.896,229.03,110,NYSE,Ask
MSFT,2021-03-05 10:00:02.525,228.33,120,NYSE,Ask
MSFT,2021-03-05 10:00:44.121,228.57,130,NASDAQ,Bid
MSFT,2021-03-05 10:00:05.784,228.31,120,NYSE,Ask
MSFT,2021-03-05 10:00:10.029,228.57,120,NASDAQ,Bid
MSFT,2021-03-05 10:00:50.507,229.85,100,NASDAQ,Ask
MSFT,2021-03-05 10:00:57.509,229.54,100,NYSE_ARCA,Bid
MSFT,2021-03-05 10:00:42.527,228.4,120,NASDAQ,Ask
MSFT,2021-03-05 10:00:11.786,229.66,130,NYSE,TRADE
MSFT,2021-03-05 10:00:55.655,228.41,120,NYSE,Bid
MSFT,2021-03-05 10:00:17.594,228.96,100,NYSE,Bid
MSFT,2021-03-05 10:00:00.645,229.45,130,NYSE_ARCA,TRADE
MSFT,2021-03-05 10:00:44.539,228.28,120,NYSE_ARCA,TRADE
MSFT,2021-03-05 10:00:56.303,229.29,110,NYSE,Bid
MSFT,2021-03-05 10:00:22.824,228.38,100,NASDAQ,Ask
MSFT,2021-03-05 10:00:30.830,229.11,130,NASDAQ,TRADE
MSFT,2021-03-05 10:00:59.626,228.21,100,NYSE_ARCA,TRADE
MSFT,2021-03-05 10:00:22.754,228.13,130,NASDAQ,Ask
MSFT,2021-03-05 10:00:24.028,228.4,130,NYSE_ARCA,TRADE
MSFT,2021-03-05 10:00:42.294,229.17,100,NYSE,Bid
MSFT,2021-03-05 10:00:16.714,229.21,100,NASDAQ,Ask
MSFT,2021-03-05 10:00:37.316,228.08,120,NYSE,TRADE
MSFT,2021-03-05 10:00:20.616,229.32,110,NYSE_ARCA,Bid
MSFT,2021-03-05 10:00:17.694,228.01,110,NASDAQ,TRADE
MSFT,2021-03-05 10:00:09.855,229.34,120,NASDAQ,TRADE
MSFT,2021-03-05 10:00:27.111,229.56,130,NYSE,Ask
MSFT,2021-03-05 10:00:46.215,229.71,110,NASDAQ,TRADE
