Symbol,Timestamp,Price,Size,Exchange,Type
CSCO,2021-03-05 10:00:00.123,46.14,120,NYSE_ARCA,Ask
MSFT,2021-03-05 10:00:00.123,228.5,120,NYSE,Ask
CSCO,2021-03-05 10:00:00.130,46.13,120,NYSE,TRADE
MSFT,2021-03-05 10:00:00.133,228.5,120,NYSE,TRADE
GOOG,2021-03-05 10:00:01.837,168.12,100,NYSE_ARCA,TRADE
GOOG,2021-03-05 10:00:38.079,45.24,150,NYSE_ARCA,TRADE
AAPL,2021-03-05 10:00:37.954,129.71,200,NYSE_ARCA,TRADE
AAPL,2021-03-05 10:00:55.175,128.92,200,NASDAQ,TRADE
MSFT,2021-03-05 10:00:22.673,242.78,200,NYSE,Ask
AAPL,2021-03-05 10:00:52.480,220.72,120,NYSE_ARCA,Bid
AAPL,2021-03-05 10:00:32.117,93.93,150,NYSE_ARCA,Bid
CSCO,2021-03-05 10:00:04.644,179.85,150,NYSE,TRADE
AAPL,2021-03-05 10:00:51.360,135.5,200,NYSE_ARCA,TRADE
MSFT,2021-03-05 10:00:11.163,67.77,100,NYSE,TRADE
CSCO,2021-03-05 10:00:54.769,85.65,120,NYSE,Ask
GOOG,2021-03-05 10:00:11.247,244.41,120,NYSE,TRADE
GOOG,2021-03-05 10:00:15.304,167.91,120,NASDAQ,Ask
CSCO,2021-03-05 10:00:53.683,155.8,200,NYSE,Bid
CSCO,2021-03-05 10:00:40.506,163.88,200,NYSE,Bid
AAPL,2021-03-05 10:00:35.837,137.46,100,NASDAQ,Bid
CSCO,2021-03-05 10:00:25.847,167.51,200,NASDAQ,Bid
GOOG,2021-03-05 10:00:34.135,96.11,120,NYSE,Ask
MSFT,2021-03-05 10:00:45.681,137.71,150,NYSE,Bid
CSCO,2021-03-05 10:00:09.690,219.99,120,NASDAQ,Ask
GOOG,2021-03-05 10:00:51.079,198.88,200,NYSE_ARCA,Bid
MSFT,2021-03-05 10:00:13.236,200.43,150,NASDAQ,Bid
GOOG,2021-03-05 10:00:06.805,72.77,100,NYSE_ARCA,Bid
GOOG,2021-03-05 10:00:58.394,110.06,150,NASDAQ,Ask
CSCO,2021-03-05 10:00:15.469,233.12,120,NYSE_ARCA,Bid
CSCO,2021-03-05 10:00:48.469,50.67,150,NYSE,TRADE
AAPL,2021-03-05 10:00:54.291,172.11,150,NYSE_ARCA,TRADE
AAPL,2021-03-05 10:00:47.440,159.57,120,NYSE_ARCA,TRADE
AAPL,2021-03-05 10:00:04.406,75.17,120,NYSE_ARCA,Ask
AAPL,2021-03-05 10:00:43.436,160.3,150,NYSE,Bid
GOOG,2021-03-05 10:00:37.199,248.8,200,NASDAQ,Ask
GOOG,2021-03-05 10:00:17.400,144.62,200,NYSE,Ask
GOOG,2021-03-05 10:00:13.659,186.8,100,NASDAQ,Ask
MSFT,2021-03-05 10:00:45.258,110.23,120,NYSE,Ask
GOOG,2021-03-05 10:00:11.772,86.96,200,NYSE,Bid
CSCO,2021-03-05 10:00:02.574,196.47,150,NASDAQ,Ask
CSCO,2021-03-05 10:00:12.442,160.06,200,NYSE_ARCA,TRADE
MSFT,2021-03-05 10:00:36.423,47.78,150,NASDAQ,Bid
MSFT,2021-03-05 10:00:13.552,91.0,150,NASDAQ,Ask
AAPL,2021-03-05 10:00:24.174,145.96,120,NYSE_ARCA,Ask
MSFT,2021-03-05 10:00:10.214,60.91,200,NYSE,TRADE
AAPL,2021-03-05 10:00:32.688,194.15,150,NASDAQ,TRADE
MSFT,2021-03-05 10:00:05.852,93.7,150,NYSE,TRADE
MSFT,2021-03-05 10:00:32.230,170.91,200,NYSE_ARCA,Ask
MSFT,2021-03-05 10:00:44.196,128.61,200,NASDAQ,Ask
CSCO,2021-03-05 10:00:24.796,119.81,120,NYSE,Ask
CSCO,2021-03-05 10:00:16.153,71.95,120,NASDAQ,TRADE
MSFT,2021-03-05 10:00:39.152,195.31,200,NYSE_ARCA,Bid
MSFT,2021-03-05 10:00:12.470,241.98,200,NYSE,Bid
CSCO,2021-03-05 10:00:55.551,167.72,100,NYSE,Bid
CSCO,2021-03-05 10:00:09.161,114.81,100,NYSE_ARCA,Ask
MSFT,2021-03-05 10:00:38.401,239.23,120,NYSE,Ask
AAPL,2021-03-05 10:00:06.360,210.1,120,NYSE,Bid
AAPL,2021-03-05 10:00:50.752,160.77,100,NASDAQ,TRADE
AAPL,2021-03-05 10:00:27.302,233.75,100,NYSE_ARCA,TRADE
AAPL,2021-03-05 10:00:54.718,234.19,120,NYSE_ARCA,Ask
AAPL,2021-03-05 10:00:39.037,72.3,150,NYSE_ARCA,Bid
GOOG,2021-03-05 10:00:08.318,238.29,150,NASDAQ,TRADE
CSCO,2021-03-05 10:00:54.807,185.51,200,NYSE,TRADE
MSFT,2021-03-05 10:00:25.848,176.82,100,NYSE,Ask
AAPL,2021-03-05 10:00:59.429,206.86,200,NASDAQ,TRADE
AAPL,2021-03-05 10:00:38.547,136.96,100,NASDAQ,Ask
AAPL,2021-03-05 10:00:34.563,204.52,120,NYSE,TRADE
GOOG,2021-03-05 10:00:39.495,243.63,150,NYSE,Ask
MSFT,2021-03-05 10:00:45.762,228.15,150,NYSE,TRADE
MSFT,2021-03-05 10:00:45.177,132.08,200,NYSE_ARCA,Ask
AAPL,2021-03-05 10:00:38.975,238.62,200,NYSE_ARCA,Bid
AAPL,2021-03-05 10:00:24.980,47.32,150,NASDAQ,Ask
GOOG,2021-03-05 10:00:04.096,193.65,120,NYSE,TRADE
GOOG,2021-03-05 10:00:23.569,64.62,150,NYSE,Bid
MSFT,2021-03-05 10:00:35.051,209.46,150,NYSE,Bid
CSCO,2021-03-05 10:00:20.051,181.63,100,NYSE,TRADE
MSFT,2021-03-05 10:00:36.913,137.23,200,NYSE,Bid
MSFT,2021-03-05 10:00:03.026,229.71,200,NYSE,Ask
AAPL,2021-03-05 10:00:49.000,70.89,150,NYSE,TRADE
MSFT,2021-03-05 10:00:27.544,156.59,150,NASDAQ,Bid
MSFT,2021-03-05 10:00:17.455,223.09,200,NYSE,TRADE
CSCO,2021-03-05 10:00:28.085,55.74,120,NASDAQ,Bid
MSFT,2021-03-05 10:00:58.899,58.91,150,NYSE_ARCA,Bid
CSCO,2021-03-05 10:00:03.342,210.34,200,NYSE,TRADE
MSFT,2021-03-05 10:00:56.042,120.98,200,NASDAQ,Bid
AAPL,2021-03-05 10:00:48.847,210.61,100,NYSE_ARCA,Bid
